team,year,touchdown,field_goal,missed_fg,punt,turnovers,safety,total,end_of_period,blocked_punt,downs,blocked_fg,playoff
CIN,2014,39,26,7,73,26,3,191,17,0,0,0,1
CLE,2014,29,25,7,93,23,1,193,15,0,0,0,0
DAL,2014,53,25,4,58,25,0,179,13,1,0,0,1
DEN,2014,55,24,5,69,20,1,198,24,0,0,0,1
DET,2014,33,25,13,68,20,1,179,19,0,0,0,1
GB,2014,52,27,6,51,13,1,169,17,2,0,0,1
HOU,2014,34,30,5,84,22,1,194,17,1,0,0,0
IND,2014,51,30,1,69,31,0,205,23,0,0,0,1
JAX,2014,24,20,6,96,26,1,195,20,2,0,0,0
KC,2014,36,25,5,71,17,0,173,19,0,0,0,0
LV,2014,26,19,3,109,29,0,198,12,0,0,0,0
LAC,2014,37,22,4,75,23,1,174,11,1,0,0,0
LAR,2014,31,24,6,81,27,0,186,16,1,0,0,0
MIA,2014,39,29,8,59,23,3,181,19,1,0,0,0
MIN,2014,29,26,9,76,20,0,176,15,1,0,0,0
NE,2014,47,35,2,67,13,0,181,16,1,0,0,1
NO,2014,49,19,3,58,30,2,174,13,0,0,0,0
NYG,2014,43,24,2,81,28,0,193,14,1,0,0,0
NYJ,2014,27,32,7,79,24,1,186,15,1,0,0,0
PHI,2014,43,32,4,76,36,0,203,12,0,0,0,0
PIT,2014,43,29,3,62,21,1,174,14,1,0,0,1
SF,2014,30,25,6,73,22,0,178,21,1,0,0,0
SEA,2014,40,31,6,62,14,1,175,20,1,0,0,1
TB,2014,28,20,4,79,33,0,180,15,1,0,0,0
TEN,2014,26,19,3,89,26,1,191,26,1,0,0,0
WAS,2014,33,24,3,78,31,0,192,22,1,0,0,0
ARI,2015,51,28,3,61,24,2,186,16,1,0,0,1
ATL,2015,34,25,6,59,30,0,174,19,1,0,0,0
BAL,2015,29,33,7,74,28,0,186,15,0,0,0,0
BUF,2015,42,23,4,82,19,1,186,15,0,0,0,0
CAR,2015,54,30,6,70,19,0,198,19,0,0,0,1
CHI,2015,34,33,6,74,21,0,179,10,1,0,0,0
CIN,2015,49,23,5,69,17,0,182,18,1,0,0,1
CLE,2015,25,28,4,70,30,0,178,21,0,0,0,0
DAL,2015,24,30,2,69,33,1,172,13,0,0,0,0
DEN,2015,32,30,5,85,31,1,199,15,0,0,0,1
DET,2015,40,22,2,80,24,2,179,9,0,0,0,0
GB,2015,39,24,4,81,17,0,192,27,0,0,0,1
HOU,2015,36,23,4,96,20,0,204,25,0,0,0,1
IND,2015,32,25,2,85,30,1,194,19,0,0,0,0
JAX,2015,40,26,4,80,28,0,193,15,0,0,0,0
KC,2015,39,30,7,75,15,1,182,15,0,0,0,1
LV,2015,41,21,5,84,24,2,195,17,1,0,0,0
LAC,2015,34,26,6,73,24,0,178,14,1,0,0,0
LAR,2015,27,21,10,96,22,1,196,19,0,0,0,0
MIA,2015,35,13,3,92,19,0,187,25,0,0,0,0
MIN,2015,32,34,5,66,17,0,172,18,0,0,0,1
NE,2015,50,33,3,74,14,1,192,16,1,0,0,1
NO,2015,48,18,8,67,20,0,182,21,0,0,0,0
NYG,2015,41,30,2,76,21,1,186,15,0,0,0,0
NYJ,2015,44,27,6,80,24,0,199,17,1,0,0,0
PHI,2015,38,21,5,88,31,1,203,17,2,0,0,0
PIT,2015,42,35,7,59,28,0,190,19,0,0,0,1
